time, dry1, wett1, dry2, wett2, sensor1, sensor2, averageinprocent, moisturestartprocent, starthour, endhour, temperature, jobcounter, maxjobs, wateringduration, pauzeduration, lastwateringtime, ValveStatus, watergifttimer, pauzetimer, outputread, errorflag,
0:00:36,795,435,795,435,98,99,101,30,9,21,20.25,0,8,60,1,,0,0,0,0,1,
0:00:37,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:00:38,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:39,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:40,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:41,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:00:42,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:43,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:44,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:45,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:46,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:47,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:00:48,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:49,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:00:50,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:51,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:00:52,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:53,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:54,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:55,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:56,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:57,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:00:58,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:00:59,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:00,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:01,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:02,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:03,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:04,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:05,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:06,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:07,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:08,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:09,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:10,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:11,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:12,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:13,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
