time, dry1, wett1, dry2, wett2, sensor1, sensor2, averageinprocent, moisturestartprocent, starthour, endhour, temperature, jobcounter, maxjobs, wateringduration, pauzeduration, lastwateringtime, ValveStatus, watergifttimer, pauzetimer, outputread,
11:29:38,795,435,795,435,84,88,0,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:39,795,435,795,435,84,86,86,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:40,795,435,795,435,83,85,85,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:41,795,435,795,435,83,84,84,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:42,795,435,795,435,83,84,83,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:43,795,435,795,435,83,84,83,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:44,795,435,795,435,83,84,83,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:45,795,435,795,435,41,43,83,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:46,795,435,795,435,19,21,42,30,9,21,23.00,0,8,60,1,,0,0,0,0,
11:29:47,795,435,795,435,15,17,20,30,9,21,23.00,1,8,60,1,11:29:46,1,59,60,1,
11:29:48,795,435,795,435,13,15,16,30,9,21,23.00,1,8,60,1,11:29:46,1,58,60,1,
11:29:49,795,435,795,435,81,83,14,30,9,21,23.00,1,8,60,1,11:29:46,1,57,60,1,
11:29:50,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,56,60,1,
11:29:51,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,55,60,1,
11:29:52,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,54,60,1,
11:29:53,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,53,60,1,
11:29:54,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,52,60,1,
11:29:55,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,51,60,1,
11:29:56,795,435,795,435,81,83,82,30,9,21,23.25,1,8,60,1,11:29:46,1,50,60,1,
11:29:57,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,49,60,1,
11:29:58,795,435,795,435,81,83,82,30,9,21,23.00,1,8,60,1,11:29:46,1,48,60,1,
