time, dry1, wett1, dry2, wett2, sensor1, sensor2, averageinprocent, moisturestartprocent, starthour, endhour, temperature, jobcounter, maxjobs, wateringduration, pauzeduration, lastwateringtime, ValveStatus, watergifttimer, pauzetimer, outputread, errorflag,
14:47:58,,,,,65,68,0,,,,,0,,,,,0,0,0,0,0,
14:47:59,,,,,63,63,66,,,,,0,,,,,0,0,0,0,0,
14:48:00,761,337,747,332,64,63,63,40,8,22,22.75,0,10,29,1,,0,0,0,0,0,
14:48:01,,,,,64,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:02,,,,,63,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:03,,,,,64,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:04,,,,,63,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:05,,,,,63,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:06,,,,,63,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:07,,,,,64,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:08,,,,,63,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:09,,,,,64,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:10,,,,,64,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:11,,,,,63,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:12,,,,,64,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:13,,,,,63,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:14,,,,,64,63,63,,,,,0,,,,,0,0,0,0,0,
14:48:15,,,,,42,41,63,,,,,0,,,,,0,0,0,0,0,
14:48:16,,,,,42,41,41,,,,,0,,,,,0,0,0,0,0,
14:48:17,,,,,28,26,41,,,,,0,,,,,0,0,0,0,0,
14:48:18,,,,,18,17,27,,,,,1,,,,14:48:17,1,28,60,1,0,
14:48:19,,,,,45,44,17,,,,,1,,,,14:48:17,1,27,60,1,0,
14:48:20,,,,,46,45,44,,,,,1,,,,14:48:17,1,26,60,1,0,
14:48:21,,,,,46,45,45,,,,,1,,,,14:48:17,1,25,60,1,0,
14:48:22,,,,,46,45,45,,,,,1,,,,14:48:17,1,24,60,1,0,
14:48:23,,,,,46,45,45,,,,,1,,,,14:48:17,1,23,60,1,0,
14:48:24,,,,,45,45,45,,,,,1,,,,14:48:17,1,22,60,1,0,
14:48:25,,,,,54,53,45,,,,,1,,,,14:48:17,1,21,60,1,0,
14:48:26,,,,,56,56,53,,,,,1,,,,14:48:17,1,20,60,1,0,
14:48:27,,,,,54,53,56,,,,,1,,,,14:48:17,1,19,60,1,0,
14:48:28,,,,,54,54,53,,,,,1,,,,14:48:17,1,18,60,1,0,
14:48:29,,,,,54,53,54,,,,,1,,,,14:48:17,1,17,60,1,0,
14:48:30,,,,,54,53,53,,,,,1,,,,14:48:17,1,16,60,1,0,
14:48:31,,,,,54,53,53,,,,,1,,,,14:48:17,1,15,60,1,0,
14:48:32,,,,,54,53,53,,,,,1,,,,14:48:17,1,14,60,1,0,
14:48:33,,,,,54,53,53,,,,,1,,,,14:48:17,1,13,60,1,0,
14:48:34,,,,,54,53,53,,,,,1,,,,14:48:17,1,12,60,1,0,
14:48:35,,,,,54,53,53,,,,,1,,,,14:48:17,1,11,60,1,0,
14:48:36,,,,,54,53,53,,,,,1,,,,14:48:17,1,10,60,1,0,
14:48:37,,,,,54,53,53,,,,,1,,,,14:48:17,1,9,60,1,0,
14:48:38,,,,,54,53,53,,,,,1,,,,14:48:17,1,8,60,1,0,
14:48:39,,,,,54,53,53,,,,,1,,,,14:48:17,1,7,60,1,0,
14:48:40,,,,,54,53,53,,,,,1,,,,14:48:17,1,6,60,1,0,
14:48:41,,,,,54,53,53,,,,,1,,,,14:48:17,1,5,60,1,0,
14:48:42,,,,,54,53,53,,,,,1,,,,14:48:17,1,4,60,1,0,
14:48:43,,,,,54,53,53,,,,,1,,,,14:48:17,1,3,60,1,0,
14:48:44,,,,,54,53,53,,,,,1,,,,14:48:17,1,2,60,1,0,
14:48:45,,,,,54,53,53,,,,,1,,,,14:48:17,1,1,60,1,0,
14:48:46,,,,,54,53,53,,,,,1,,,,14:48:17,1,0,60,1,0,
14:48:47,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,59,0,0,
14:48:48,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,58,0,0,
14:48:49,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,57,0,0,
14:48:50,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,56,0,0,
14:48:51,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,55,0,0,
14:48:52,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,54,0,0,
14:48:53,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,53,0,0,
14:48:54,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,52,0,0,
14:48:55,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,51,0,0,
14:48:56,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,50,0,0,
14:48:57,,,,,53,53,53,,,,,1,,,,14:48:17,0,0,49,0,0,
14:48:58,,,,,54,53,53,,,,,1,,,,14:48:17,0,0,48,0,0,
